source,target,value
jo,geo,1
jo,code,1
jo,theater,1
jo,schwarz,1
jo,research_ass,1
geo,maps,4
geo,msc,2
wur,msc,2
msc,research_ass,3
msc,study_ass,3
wur,research_ass,1
wur,study_ass,1
research_ass,rs,2
research_ass,esa,5
esa,italy,1
italy,italian,6
learn,js,7
learn,study_ass,10
learn,italian,7
code,r,1
code,js,1
code,html,1
code,css,1
code,python,1
code,linux,1
code,sql,5
r,gdal,5
python,gdal,4
python,qgis,5
theater,embrace,2
theater,learn,3
theater,impro,1
theater,lindy,4
theater,interact,1
geo,arcgis,1
geo,qgis,1
geo,postgis,1
geo,erdas,1
geo,rs,2
geo,gdal,2
msr,erasmus,4
erasmus,msc,4
ba,india,7
india,msr,7
msc,fiji,7
fiji,rs,7
fiji,sql,7
hd,ba,1
msr,berlin,1
wur,wag,1
giz,fiji,1
schwarz,hd,7
