source,target,value,nummer
jo,geo,1,0
jo,code,1,1
jo,theater,1,2
jo,schwarz,1,3
jo,research_ass,1,4
geo,maps,4,5
geo,msc,2,6
wur,msc,2,7
research_ass,msc,3,8
msc,study_ass,3,9
research_ass,wur,1,10
wur,study_ass,1,11
research_ass,rs,2,12
research_ass,esa,5,13
esa,italy,1,14
italy,italian,3,15
learn,js,10,16
learn,study_ass,10,17
learn,italian,7,18
code,r,1,19
code,js,2,20
code,html,1,21
code,css,1,22
code,python,1,23
code,linux,1,24
code,sql,3,25
r,gdal,7,26
python,gdal,7,27
python,qgis,6,28
theater,embrace,2,29
theater,learn,3,30
theater,impro,1,31
learn,lindy,3,32
theater,interact,1,33
geo,arcgis,1,34
geo,qgis,1,35
geo,postgis,1,36
geo,erdas,1,37
geo,rs,2,38
geo,gdal,2,39
gdal,rs,2,40
erdas,rs,2,41
erasmus,msr,4,42
msc,erasmus,4,43
intseds,ba,7,44
msr,intseds,7,45
msc,intgiz,7,46
intgiz,rs,7,47
intgiz,sql,7,48
hd,ba,1,49
msr,hu,1,50
wur,wag,1,51
intgiz,giz,1,52
schwarz,hd,7,53
unihd,ba,2,54
hd,unihd,1,55
berlin,hu,1,56
fiji,intgiz,1,57
india,intseds,1,58
ba,msr,3,59
