id,name,group,weight
jo,Johannes Eberenz,jo,0
geo,Geoinformation,geo,1
code,Code,code,1
theater,Theater,theater,1
wur,WUR,companies,2
research_ass,Research Assistant,companies,3
study_ass,Study Assitant Earth observation,companies,4
wag,Wageningen,places,3
fiji,Fiji,places,4
india,India,places,4
berlin,Berlin,places,4
hd,Heidelberg,places,4
rs,Remote Sensing,geo,3
r,R,code,3
python,python,code,4
linux,Linux,code,4
js,JavaScript,code,4
html,HTML,code,4
css,CSS,code,5
sql,SQL,code,5
arcgis,ArcGIS,geo,3
qgis,QGIS,geo,3
postgis,PostGIS,geo,4
erdas,ERDAS,geo,4
gdal,gdal,geo,3
impro,improvise,theater,3
learn,learn,theater,3
embrace,embrace,theater,3
interact,interact,theater,3
maps,Maps,places,3
esa,ESA,companies,5
italy,Italy,places,5
italian,Italian,theater,5
giz,GIZ,companies,5
schwarz,Black Forest,places,4
lindy,Lindy Hop,theater,4
msc,Msc Geoinformation Science,edu,3
ba,Bachelor Economics,edu,2
msr,Courses Msc Natural Resource Management,edu,2
erasmus,Erasmus,edu,2
